word,word_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
facade,fr-en loanword,0,0.025641026,0.035502959,0.047337278,0.059171598,0.078895464,0.090729783,0.094674556,0.098619329,0.112426036,0.122287968,0.124260355,0.134122288,0.140039448,0.145956607,0.153846154,0.159763314,0.1617357,0.169625247,0.169625247,0.175542406,0.183431953,0.187376726,0.193293886,0.201183432,0.201183432,0.203155819,0.211045365,0.216962525,0.224852071,0.226824458,0.228796844,0.232741617,0.244575937,0.250493097,0.250493097,0.250493097,0.252465483,0.258382643,0.264299803,0.268244576,0.270216963,0.272189349,0.280078895,0.282051282,0.284023669,0.289940828,0.291913215,0.293885602,0.303747535
fine,fr-en loanword,0,0.016,0.02,0.036,0.05,0.06,0.072,0.074,0.082,0.092,0.098,0.102,0.116,0.122,0.124,0.128,0.13,0.134,0.142,0.146,0.152,0.158,0.162,0.162,0.168,0.172,0.174,0.176,0.176,0.178,0.182,0.186,0.19,0.196,0.196,0.202,0.204,0.206,0.208,0.214,0.218,0.22,0.22,0.224,0.226,0.226,0.232,0.236,0.238,0.244
foyer,fr-en loanword,0,0,0,0,0,0.002,0.004,0.006,0.008,0.01,0.012,0.016,0.02,0.024,0.026,0.032,0.036,0.042,0.048,0.052,0.054,0.058,0.06,0.06,0.064,0.064,0.074,0.08,0.082,0.088,0.096,0.096,0.1,0.104,0.104,0.108,0.11,0.116,0.118,0.118,0.12,0.122,0.122,0.122,0.126,0.132,0.132,0.136,0.136,0.136
naive,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuance,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physique,fr-en loanword,0,0,0,0,0,0.003861004,0.005791506,0.005791506,0.007722008,0.007722008,0.007722008,0.007722008,0.011583012,0.011583012,0.011583012,0.013513514,0.015444015,0.015444015,0.015444015,0.015444015,0.015444015,0.015444015,0.017374517,0.017374517,0.019305019,0.021235521,0.021235521,0.021235521,0.023166023,0.023166023,0.023166023,0.023166023,0.023166023,0.023166023,0.023166023,0.023166023,0.023166023,0.023166023,0.023166023,0.023166023,0.023166023,0.023166023,0.028957529,0.028957529,0.028957529,0.028957529,0.028957529,0.028957529,0.028957529,0.028957529
rapport,fr-en loanword,0,0.013972056,0.017964072,0.017964072,0.025948104,0.031936128,0.033932136,0.033932136,0.033932136,0.035928144,0.035928144,0.037924152,0.03992016,0.041916168,0.043912176,0.043912176,0.043912176,0.043912176,0.045908184,0.045908184,0.045908184,0.045908184,0.047904192,0.047904192,0.047904192,0.047904192,0.047904192,0.047904192,0.0499002,0.051896208,0.051896208,0.051896208,0.053892216,0.053892216,0.053892216,0.053892216,0.053892216,0.053892216,0.053892216,0.053892216,0.053892216,0.053892216,0.055888224,0.055888224,0.055888224,0.057884232,0.05988024,0.05988024,0.05988024,0.05988024
reservoir,fr-en loanword,0,0.01,0.034,0.052,0.068,0.082,0.092,0.098,0.1,0.102,0.118,0.13,0.136,0.142,0.15,0.154,0.16,0.168,0.174,0.182,0.186,0.196,0.198,0.204,0.212,0.216,0.218,0.222,0.224,0.23,0.234,0.236,0.236,0.238,0.24,0.24,0.24,0.246,0.248,0.256,0.26,0.264,0.27,0.276,0.278,0.28,0.286,0.288,0.294,0.296
fire,non borrowed word,0,0.182178218,0.245544554,0.269306931,0.310891089,0.320792079,0.338613861,0.352475248,0.358415842,0.366336634,0.368316832,0.38019802,0.386138614,0.39009901,0.398019802,0.40990099,0.413861386,0.421782178,0.421782178,0.427722772,0.435643564,0.435643564,0.437623762,0.43960396,0.443564356,0.44950495,0.455445545,0.457425743,0.461386139,0.461386139,0.465346535,0.469306931,0.473267327,0.479207921,0.483168317,0.487128713,0.491089109,0.491089109,0.495049505,0.504950495,0.504950495,0.510891089,0.512871287,0.512871287,0.512871287,0.518811881,0.528712871,0.528712871,0.534653465,0.544554455
nose,non borrowed word,0,0.01,0.022,0.036,0.05,0.066,0.082,0.104,0.116,0.132,0.152,0.168,0.186,0.198,0.22,0.224,0.242,0.246,0.256,0.268,0.284,0.294,0.298,0.3,0.312,0.318,0.326,0.33,0.336,0.34,0.348,0.352,0.358,0.362,0.368,0.378,0.38,0.38,0.386,0.388,0.394,0.396,0.408,0.408,0.41,0.41,0.412,0.414,0.414,0.414
