word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
after,"[0.3731792, 0.41380095, 0.39498237, 0.37210202, 0.38346866, 0.36954483, 0.34770495, 0.35015497, 0.3681153]","[11527.38671875, 6573.7138671875, 5212.6591796875, 4051.24365234375, 3197.9794921875]",[0.19816396 0.39484685 0.217311   ... 0.30486547 0.27535977 0.22032534],0.07335142613474079,0.2866676611892534
author,"[0.53853583, 0.560749, 0.53586286, 0.50526583, 0.43594944, 0.4352031, 0.41728643, 0.4246714, 0.42572168]","[17135.9453125, 6766.66796875, 4407.5107421875, 3636.455078125, 2991.79150390625]",[0.09955324 0.32360582 0.38848625 ... 0.14363656 0.44168968 0.4780554 ],0.11603737162082214,0.32192741909914546
boredom,"[0.55287576, 0.42708865, 0.443607, 0.36780074, 0.3851221, 0.38640264, 0.3809049, 0.38835144, 0.38037056]","[7998.6435546875, 5655.154296875, 4198.8310546875, 3385.13720703125, 2718.54833984375]",[0.17702691 0.10011285 0.27748999 ... 0.07410139 0.26649235 0.26851603],0.07279227634786439,0.19338155707458113
cottage,"[0.42912653, 0.44839892, 0.3895881, 0.39801466, 0.3942071, 0.3928301, 0.39406705, 0.38376644, 0.3680233]","[9166.6708984375, 5894.75439453125, 4438.595703125, 3479.048583984375, 2848.535400390625]",[0.14930044 0.12094462 0.12074135 ... 0.091065   0.20651216 0.23340839],0.06923001195870525,0.2159124370104364
end of century,"[0.535078, 0.4300081, 0.4512315, 0.46425825, 0.49290517, 0.4476985, 0.45647565, 0.4701213, 0.48336858]","[779.2950439453125, 466.34588623046875, 317.0257873535156, 209.9036102294922, 160.51907348632812]","[0.1812824  0.2135549  0.36058372 0.36461486 0.39074636 0.37796625
 0.3506436  0.40048192 0.45198519 0.44287794 0.48314896 0.46846482
 0.34096661 0.28822727 0.07156105 0.28589734 0.2985243  0.2961698
 0.28142006 0.25869624 0.23644599 0.10244773 0.27418292 0.35295374
 0.2675324  0.35543903 0.27332343 0.32397812 0.3134134  0.31999672
 0.35766638 0.26256673 0.09346968 0.09903994 0.17004219 0.20173374
 0.07002461 0.13455447 0.15197083 0.18772693 0.18666882 0.23439083
 0.24177712 0.22760748 0.28071821 0.25961306 0.27670451 0.16410598
 0.19780815 0.22503148 0.16074771 0.18400739 0.17462542 0.18184975
 0.19242503 0.15337687 0.20919227 0.149465   0.22213782 0.16926439
 0.20691398 0.25556591 0.21240623 0.21468884 0.19385804 0.21600487
 0.16697654 0.19893268 0.21079987 0.13856394 0.23697521 0.17468131
 0.1927044  0.20695712 0.17321905 0.21640239 0.22414884 0.20127862
 0.2925316  0.26964526 0.27540126 0.17779861 0.19117833 0.25784961
 0.19273815 0.2091191  0.18798974 0.19125926 0.1868141  0.1353643
 0.26593393 0.18323914 0.25747687 0.19070224 0.22436701 0.28406447
 0.21274174 0.20245753 0.18761757 0.21724003 0.16569285 0.24931422
 0.24337005 0.19022615 0.26700945 0.04855859 0.09806237 0.12549617
 0.22834919 0.20844405 0.11574667 0.22132535 0.18116431 0.20547652
 0.11991114 0.24237419 0.39138411 0.17718912 0.20273802 0.18216424
 0.20228466 0.24025169 0.20324727 0.3578928  0.13282134 0.2237225
 0.16177276 0.19863611 0.30536613 0.18306146 0.1879693  0.18204853
 0.19857318 0.21100097 0.34231372 0.36267826 0.19883017 0.3320642
 0.06448199 0.1090104  0.2237513  0.1854862  0.1300018  0.19006884
 0.19378402 0.18153725 0.09452656 0.24519856 0.40136881 0.17142551
 0.20562241 0.17104443 0.16938987 0.24036978 0.21634933 0.3555859
 0.13818981 0.19332668 0.14013619 0.15463809 0.28397585 0.1592907
 0.18623699 0.19569978 0.16948976 0.21643754 0.34952704 0.36264391
 0.20663536 0.30859634 0.06329481 0.22758039 0.19810439 0.12355306
 0.22092286 0.21327112 0.17761928 0.12287929 0.22337476 0.41777399
 0.20701552 0.22831421 0.18929463 0.16615066 0.22547524 0.23289467
 0.39203248 0.18125903 0.20530293 0.13608286 0.16390099 0.30376736
 0.16366658 0.19754693 0.18557658 0.17713226 0.23250474 0.37994919
 0.39571277 0.25268685 0.31512772 0.17528856 0.15964675 0.1307184
 0.25980036 0.22944504 0.2192927  0.14412057 0.19069963 0.39751529
 0.20085974 0.20633813 0.19499122 0.16381867 0.19687523 0.19348753
 0.37560916 0.17231637 0.2166437  0.14766645 0.18900369 0.27496252
 0.15024635 0.18355601 0.18280606 0.19236924 0.22382891 0.36875444
 0.36262025 0.23917678 0.31182376 0.11601884 0.20758042 0.29089223
 0.30801396 0.30415015 0.22435569 0.19932744 0.39931977 0.18466798
 0.20198602 0.16331588 0.20043659 0.16999504 0.20309566 0.37395688
 0.2586598  0.31187115 0.26165552 0.30214194 0.31034286 0.18410399
 0.19122742 0.2503943  0.32660844 0.29040065 0.35697091 0.36966633
 0.27530331 0.34941788 0.16500793 0.19544102 0.25900978 0.22345632
 0.18732698 0.22068964 0.44419827 0.14655801 0.18543521 0.19062607
 0.18596692 0.21066965 0.17652891 0.39122472 0.22610183 0.24571392
 0.24042882 0.26213843 0.29806598 0.16203531 0.19713062 0.22201102
 0.24155598 0.27366514 0.39017573 0.4007542  0.27371831 0.31989393
 0.20764477 0.17458072 0.160179   0.15107747 0.23729243 0.4888206
 0.21600097 0.22510742 0.20488985 0.2231972  0.24293613 0.19643077
 0.44686323 0.20557651 0.28453018 0.20259256 0.24543475 0.34210305
 0.17260118 0.20255228 0.17110207 0.20634971 0.21215602 0.42580873
 0.45076225 0.27518319 0.37770771 0.18780658 0.08212137 0.17666692
 0.30607098 0.4865276  0.23920709 0.28870953 0.28194214 0.22733154
 0.31488337 0.23877727 0.39123907 0.24770256 0.25307744 0.26723326
 0.27553239 0.25482996 0.25593608 0.24803116 0.21428562 0.24366668
 0.23668933 0.38906036 0.44570861 0.28292908 0.25765482 0.11679811
 0.18413069 0.26864226 0.51847423 0.2896362  0.2813996  0.26824642
 0.26316914 0.31359671 0.23516774 0.43851141 0.22858647 0.21175784
 0.23253191 0.24544194 0.31131165 0.28154447 0.25813683 0.20251222
 0.24721766 0.19835624 0.41026499 0.47782214 0.32113395 0.37185536
 0.17593355 0.25429008 0.50113276 0.25701368 0.25998997 0.25374749
 0.21813045 0.2903463  0.22842294 0.42569613 0.26482245 0.24406296
 0.22426724 0.26685663 0.29469261 0.26203335 0.2738191  0.179905
 0.24604481 0.20115889 0.40142648 0.46274016 0.31401434 0.28985049
 0.18624385 0.38518259 0.21839258 0.21468642 0.18517014 0.17901003
 0.22933982 0.18465981 0.34519973 0.17442308 0.24378687 0.17583018
 0.19800661 0.28367517 0.20138757 0.19296728 0.21181653 0.18413216
 0.1902418  0.3412747  0.34736426 0.20872862 0.29519599 0.30544046
 0.20117885 0.18355335 0.17257455 0.18966476 0.13155457 0.15588106
 0.30222759 0.24165761 0.27288755 0.19195238 0.27156906 0.28135651
 0.2040574  0.20018495 0.19216642 0.25578959 0.20484931 0.28990076
 0.29522458 0.25931529 0.24699525 0.29740611 0.3029542  0.31871158
 0.28700658 0.27810693 0.24906329 0.09163361 0.26747733 0.33783301
 0.25130589 0.35453862 0.24054956 0.32808622 0.32083117 0.31755952
 0.35440872 0.2653869  0.10385815 0.09468992 0.19786093 0.1992865
 0.10090599 0.13027589 0.11122414 0.15178688 0.11873058 0.25961981
 0.16736404 0.19041149 0.17572866 0.219167   0.23709665 0.12228041
 0.17963506 0.16882768 0.21201132 0.20379344 0.26219529 0.28247722
 0.18464804 0.22837343 0.09082398 0.10825747 0.1323149  0.11359989
 0.26288045 0.17979065 0.21600892 0.16249119 0.22046968 0.25487275
 0.14936594 0.20964423 0.16438307 0.22494294 0.1903505  0.26408319
 0.28638157 0.20062988 0.24764418 0.10512385 0.10627596 0.13368006
 0.28881404 0.18210579 0.23931415 0.15674382 0.20053474 0.28306445
 0.12786768 0.18318124 0.17504509 0.23575865 0.20497615 0.27538981
 0.30913426 0.20264016 0.2639675  0.11602288 0.10921933 0.24751398
 0.17754808 0.16417844 0.13965983 0.17030022 0.19177767 0.1313972
 0.17894816 0.11323465 0.18364707 0.16339537 0.24766062 0.2778852
 0.1930708  0.18553428 0.11791928 0.26285659 0.2202067  0.2535863
 0.17590347 0.24033713 0.24313583 0.14340997 0.16197654 0.17150799
 0.25347283 0.2058113  0.24851613 0.27512765 0.20822678 0.2189659
 0.18513685 0.16247128 0.21709416 0.16334233 0.22999394 0.18732492
 0.16758234 0.16724753 0.12955533 0.20498436 0.09738555 0.17538863
 0.2437169  0.15489733 0.17390464 0.25436997 0.29021635 0.24739348
 0.33762317 0.17930972 0.31466162 0.300585   0.2822147  0.33750472
 0.19761252 0.03464134 0.10598541 0.14157052 0.13274462 0.12359055
 0.09079057 0.11346038 0.18102748 0.1409276  0.12506064 0.15068366
 0.10888373 0.14174351 0.25512983 0.28616074 0.13896647 0.24849527
 0.14641419 0.12331801 0.19093755 0.19274868 0.18727623 0.16306052
 0.14112047 0.17665884 0.30126358 0.33987777 0.23954616 0.2495716
 0.09854606 0.16627998 0.10720355 0.14043298 0.11832324 0.11413085
 0.14460522 0.24011377 0.27058129 0.16856896 0.20077816 0.21665852
 0.14832648 0.16919922 0.17580099 0.06280754 0.18938163 0.33718549
 0.37012639 0.24073729 0.2855342  0.21749409 0.19712522 0.19901124
 0.23735811 0.16412555 0.18984651 0.2667429  0.17904658 0.11971434
 0.09251028 0.12135411 0.14343399 0.19044145 0.30992096 0.33008898
 0.20320118 0.26154508 0.13007702 0.15202637 0.16590677 0.28275549
 0.32885364 0.19297738 0.26987778 0.13059039 0.09086355 0.26349799
 0.32399863 0.21711429 0.22207582 0.16299715 0.34864906 0.36209346
 0.23150464 0.27843624 0.18277532 0.27953997 0.16578617 0.1970161
 0.11520334 0.13598108 0.14357056 0.19325259 0.20595812 0.16104056]",0.08009001149714529,0.22751080309539087
fashionable,"[0.4214133, 0.39677605, 0.38631743, 0.3935767, 0.37520495, 0.36340222, 0.35557055, 0.36223194, 0.35285717]","[9109.275390625, 5931.34423828125, 4510.421875, 3458.687744140625, 2965.489990234375]",[0.07698691 0.06025169 0.11318158 ... 0.135539   0.15861161 0.2223463 ],0.06617771812743338,0.1936657847188293
high school,"[0.36315715, 0.40472525, 0.37410975, 0.35168493, 0.3686728, 0.35075447, 0.3668558, 0.35935503, 0.36215365]","[9701.869140625, 5697.21826171875, 4606.70654296875, 3537.454345703125, 2842.759521484375]",[0.08495995 0.14825696 0.18796389 ... 0.07012978 0.11527857 0.10426864],0.06768362453795934,0.22799584947211532
misstep,"[0.61774355, 0.427985, 0.43006727, 0.40276447, 0.38830563, 0.40139636, 0.37862444, 0.38409394, 0.35279566]","[7270.58984375, 4498.25732421875, 2916.379150390625, 2287.53466796875, 1880.8607177734375]",[0.10311196 0.22140568 0.25523839 ... 0.15829995 0.1729487  0.1638918 ],0.08488942562453335,0.24479770695499634
mockery,"[0.4048177, 0.44455683, 0.39966488, 0.40282336, 0.3880259, 0.3858134, 0.3830677, 0.37745342, 0.38095683]","[11158.87109375, 6169.109375, 4517.60595703125, 3522.024169921875, 2894.72119140625]",[0.25675805 0.18079405 0.10589656 ... 0.1718435  0.29111866 0.16211758],0.08801502829659459,0.2485423734113633
pack,"[0.3694443, 0.47528797, 0.4453312, 0.42036656, 0.39443383, 0.40090305, 0.39143103, 0.3927042, 0.4030491]","[12568.1123046875, 6497.21484375, 4646.77587890625, 3797.2041015625, 3081.65673828125]",[0.09574426 0.33306924 0.33306924 ... 0.20774697 0.23630053 0.07883708],0.07549850030681751,0.26878766064041193
party,"[0.46830422, 0.430636, 0.43693197, 0.43170196, 0.432643, 0.40976784, 0.4285558, 0.39481667, 0.39714068]","[14746.3095703125, 9456.3837890625, 6793.3330078125, 5474.3876953125, 4233.12548828125]",[0.30822001 0.3194432  0.35992344 ... 0.40093341 0.44861745 0.16058167],0.09369497256413319,0.3369658626495611
relaxation,"[0.5531312, 0.39655727, 0.43421635, 0.38227174, 0.3812762, 0.3788855, 0.37397712, 0.36633095, 0.36530402]","[6909.72509765625, 4442.0537109375, 2842.677001953125, 2371.3984375, 2034.15478515625]",[0.20166053 0.2019526  0.2644278  ... 0.10258172 0.09708683 0.15154691],0.07132537185420537,0.2135992771417887
repairman,"[0.4994211, 0.50763404, 0.43453875, 0.4455765, 0.42832455, 0.4162423, 0.3950243, 0.38957295, 0.37177032]","[7344.3828125, 4298.48779296875, 2918.70263671875, 2082.15185546875, 1684.482666015625]",[0.09549805 0.10905258 0.18133507 ... 0.05258533 0.07307041 0.02988048],0.06214699123778192,0.15965260714639412
room,"[0.40608653, 0.48336342, 0.38779995, 0.37725204, 0.38078454, 0.37140432, 0.36470118, 0.3681501, 0.3635347]","[11593.173828125, 6558.818359375, 4685.0986328125, 3839.36669921875, 3140.452880859375]",[0.28197548 0.32379122 0.29207388 ... 0.17853114 0.16632798 0.09674602],0.07760173294147489,0.3016398511227361
song,"[0.51330394, 0.5678011, 0.55563563, 0.4873878, 0.45122015, 0.455818, 0.43428516, 0.41184863, 0.41436595]","[9569.802734375, 4722.57470703125, 3419.51123046875, 2653.37939453125, 2032.35498046875]",[0.23424474 0.22659208 0.26503952 ... 0.27742125 0.25589015 0.33106289],0.07730003189983331,0.2760986524694433
minstrel,"[0.5130648, 0.408715, 0.39989847, 0.38204664, 0.37567976, 0.3848725, 0.37549078, 0.36084613, 0.3625148]","[7375.52587890625, 4861.6533203125, 3531.568359375, 2910.8115234375, 2426.681640625]",[0.14128942 0.20428369 0.19769977 ... 0.19377847 0.2612953  0.07860123],0.0691612136988712,0.20554587678718472
working class,"[0.43322334, 0.47292334, 0.4422993, 0.4035346, 0.37543574, 0.38512203, 0.37575278, 0.36627913, 0.36279142]","[7515.3583984375, 4054.594970703125, 3015.15185546875, 2398.51220703125, 1993.522216796875]",[0.41990671 0.49569305 0.34892406 ... 0.0837739  0.13043344 0.11223006],0.058579901575252315,0.19200510068757587
meeting,"[0.45044452, 0.5316418, 0.40233865, 0.38485414, 0.3852796, 0.36089417, 0.35280168, 0.3538969, 0.35799116]","[11601.861328125, 5996.6201171875, 4413.02880859375, 3695.077392578125, 3125.6943359375]",[0.21274184 0.23611256 0.25814219 ... 0.28309038 0.20505001 0.29779357],0.0745145912768264,0.2864538318767009
middle class,"[0.41334537, 0.39529207, 0.3788681, 0.38760558, 0.39018902, 0.38634565, 0.3795169, 0.37782514, 0.3710844]","[7124.8349609375, 4584.27783203125, 3505.40234375, 2835.331787109375, 2227.3115234375]",[0.08918679 0.06760996 0.07550657 ... 0.24548375 0.23624154 0.20127442],0.0656603043513768,0.21304621420659978
fire,"[0.41453218, 0.48418182, 0.44188526, 0.44240662, 0.4472068, 0.4271508, 0.4134016, 0.40738624, 0.40806824]","[12638.6572265625, 6976.79052734375, 5167.4228515625, 3677.8564453125, 2976.49365234375]",[0.26091926 0.26965743 0.29293011 ... 0.         0.30925183 0.30925183],0.08536284209625156,0.3013982876252759
nose,"[0.377565, 0.41677213, 0.36964855, 0.36988634, 0.37162805, 0.36375514, 0.36543587, 0.36439684, 0.36573225]","[12047.240234375, 7443.4814453125, 5777.1552734375, 4526.216796875, 3686.6357421875]",[0.19807202 0.22981659 0.32047331 ... 0.11139081 0.18686371 0.13695447],0.07694934037657734,0.2693521794143052
water,"[0.34547666, 0.42034826, 0.38666546, 0.37311906, 0.35587707, 0.35910633, 0.35832208, 0.34765533, 0.34294674]","[9821.97265625, 5731.73828125, 4492.93896484375, 3567.57763671875, 3029.148681640625]",[0.07543642 0.20496789 0.2005927  ... 0.06892837 0.09741586 0.06503133],0.07382212100165494,0.2639013566121842
tongue,"[0.36311334, 0.38960615, 0.39636242, 0.37456203, 0.34816194, 0.34824273, 0.36675215, 0.36737007, 0.36260712]","[9995.33984375, 6516.60791015625, 4645.9951171875, 3765.5439453125, 3194.30322265625]",[0.1559709  0.15627355 0.16569562 ... 0.2154605  0.20405714 0.10745279],0.07188556969023426,0.2617711400219392
blood,"[0.42415273, 0.42323828, 0.39800304, 0.37472516, 0.34365845, 0.35207653, 0.34885442, 0.35568103, 0.37230244]","[9159.6513671875, 6092.07080078125, 4456.9306640625, 3724.3896484375, 3146.35546875]",[0.21038948 0.22183213 0.20525749 ... 0.35404387 0.44668203 0.10594685],0.07835119052992025,0.26407934168548425
