word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
detour,"[0.61513627, 0.42027575, 0.45611158, 0.4438275, 0.41008267, 0.424332, 0.41818774, 0.41667578, 0.39772546]","[3938.0, 2629.452392578125, 1665.7406005859375, 1156.288818359375, 917.6510620117188]",[0.32296647 0.3169642  0.32255277 ... 0.19358784 0.21697214 0.09882659],0.15622436303194906,0.23272064250900182
elite,"[0.45720673, 0.46201771, 0.43236688, 0.43421382, 0.43477464, 0.43636006, 0.4436807, 0.44256404, 0.42268658]","[6986.3046875, 4477.751953125, 2590.4833984375, 1824.209716796875, 1354.093017578125]",[0.14605269 0.3337875  0.30757192 ... 0.23119817 0.21455493 0.13958317],0.19083504379603877,0.4397863529631446
ensemble,"[0.47535625, 0.6263041, 0.5013993, 0.4574809, 0.44721943, 0.4630487, 0.46848413, 0.45425507, 0.44499207]","[5519.8701171875, 2013.35205078125, 1389.6865234375, 1145.753662109375, 906.664794921875]",[0.58730841 0.7039684  0.60158508 ... 0.09616209 0.2077569  0.23254488],0.12831534621011575,0.4038872700945248
etiquette,"[0.64874405, 0.43831947, 0.40447077, 0.42093536, 0.42451543, 0.3952989, 0.40346238, 0.40478194, 0.38797218]","[2188.774169921875, 1611.53662109375, 1187.956298828125, 951.4814453125, 783.314697265625]",[0.06947521 0.17994098 0.18570592 ... 0.07778425 0.13435995 0.11820688],0.10537313973337724,0.21014536884872567
facade,"[0.53383845, 0.53984755, 0.5325393, 0.46531188, 0.44871554, 0.45193085, 0.45647925, 0.43225577, 0.41853535]","[4114.94482421875, 2537.8369140625, 1541.99853515625, 1057.59228515625, 860.3660278320312]",[0.16512562 0.2080798  0.24056228 ... 0.1213092  0.12448204 0.12784808],0.1647774490415282,0.3334732411579075
fine,"[0.38362628, 0.40416685, 0.4072926, 0.4230567, 0.43499893, 0.42562, 0.41518843, 0.41354224, 0.41655254]","[6204.67138671875, 4143.29541015625, 2830.17822265625, 1995.346923828125, 1557.8544921875]",[0.28410061 0.61220639 0.81643659 ... 0.30331744 0.56045508 0.56858417],0.16567715983120893,0.4790845614223115
foyer,"[0.52656555, 0.42202747, 0.42476693, 0.42124674, 0.39260477, 0.39373004, 0.3964342, 0.4038166, 0.40634784]","[3895.51318359375, 2682.22607421875, 1796.94873046875, 1483.40380859375, 1213.15869140625]",[0.26245046 0.27473167 0.23113798 ... 0.21333912 0.23794131 0.06199818],0.1420769443547921,0.33880454655797293
naive,"[0.5531788, 0.53141063, 0.49370715, 0.40429035, 0.42332843, 0.43370512, 0.4066881, 0.40639728, 0.39359236]","[3922.027587890625, 2408.982421875, 1574.5380859375, 1144.704833984375, 816.7738037109375]",[0.19259549 0.17078784 0.2095547  ... 0.03803006 0.12498986 0.14216225],0.12672760348755646,0.179372895400246
nuance,"[0.48361146, 0.5583889, 0.4843518, 0.48358312, 0.49469617, 0.4967514, 0.45103973, 0.4239058, 0.426643]","[4006.2119140625, 1969.187744140625, 1482.110107421875, 1171.486328125, 922.6533813476562]",[0.25469891 0.27034668 0.26095928 ... 0.14991272 0.14038243 0.0936041 ],0.09839131265357695,0.2019895701582347
physique,"[0.4693611, 0.39294064, 0.3904688, 0.3735285, 0.3590782, 0.3773548, 0.37009442, 0.356734, 0.35687235]","[3598.20751953125, 2357.87890625, 1741.02099609375, 1385.3436279296875, 1168.717041015625]",[0.4651589  0.51909309 0.6174327  ... 0.22039664 0.21046935 0.22217523],0.1161233636257425,0.29983321287595976
ensemble,"[0.47535637, 0.62630427, 0.50139964, 0.45748127, 0.44721976, 0.4630491, 0.46848467, 0.45425534, 0.44499218]","[5519.8701171875, 2013.3492431640625, 1389.6846923828125, 1145.7523193359375, 906.6633911132812]",[0.58730841 0.7039684  0.60158508 ... 0.09616209 0.2077569  0.23254488],0.12831534621011575,0.4038872700945248
etiquette,"[0.6487441, 0.43831927, 0.40447056, 0.42093524, 0.42451546, 0.3952989, 0.4034626, 0.40478212, 0.38797235]","[2188.77294921875, 1611.5361328125, 1187.95556640625, 951.4812622070312, 783.31396484375]",[0.06947521 0.17994098 0.18570592 ... 0.07778425 0.13435995 0.11820688],0.10537313973337724,0.21014536884872567
facade,"[0.53383875, 0.5398478, 0.5325397, 0.46531257, 0.448716, 0.4519311, 0.4564797, 0.43225628, 0.41853592]","[4114.9443359375, 2537.837646484375, 1542.000732421875, 1057.5933837890625, 860.3666381835938]",[0.16512562 0.2080798  0.24056228 ... 0.1213092  0.12448204 0.12784808],0.1647774490415282,0.3334732411579075
fine,"[0.38362634, 0.40416682, 0.40729263, 0.4230567, 0.4349989, 0.42561996, 0.4151885, 0.41354224, 0.41655254]","[6204.66650390625, 4143.29248046875, 2830.177001953125, 1995.3458251953125, 1557.8536376953125]",[0.28410061 0.61220639 0.81643659 ... 0.30331744 0.56045508 0.56858417],0.16567715983120893,0.4790845614223115
foyer,"[0.5265655, 0.42202783, 0.4247675, 0.42124787, 0.3926054, 0.39373076, 0.39643437, 0.40381733, 0.40634912]","[3895.51513671875, 2682.225830078125, 1796.947265625, 1483.4012451171875, 1213.15625]",[0.26245046 0.27473167 0.23113798 ... 0.21333912 0.23794131 0.06199818],0.1420769443547921,0.33880454655797293
naive,"[0.55317867, 0.531411, 0.49370736, 0.40429026, 0.42332837, 0.43370503, 0.40668795, 0.4063972, 0.3935923]","[3922.0361328125, 2408.98486328125, 1574.5396728515625, 1144.7060546875, 816.7748413085938]",[0.19259549 0.17078784 0.2095547  ... 0.03803006 0.12498986 0.14216225],0.12672760348755646,0.179372895400246
nuance,"[0.48361146, 0.5583889, 0.48435178, 0.48358312, 0.49469614, 0.4967514, 0.45103973, 0.42390582, 0.426643]","[4006.212890625, 1969.1878662109375, 1482.1099853515625, 1171.4866943359375, 922.6535034179688]",[0.25469891 0.27034668 0.26095928 ... 0.14991272 0.14038243 0.0936041 ],0.09839131265357695,0.2019895701582347
physique,"[0.46936104, 0.39294055, 0.39046776, 0.37352842, 0.35907814, 0.37735596, 0.37009385, 0.35673627, 0.35687205]","[3598.2060546875, 2357.876708984375, 1741.0225830078125, 1385.3436279296875, 1168.7169189453125]",[0.4651589  0.51909309 0.6174327  ... 0.22039664 0.21046935 0.22217523],0.1161233636257425,0.29983321287595976
rapport,"[0.44049728, 0.42151624, 0.41877797, 0.37533212, 0.38598463, 0.38110164, 0.39130506, 0.3835351, 0.3816137]","[5990.8515625, 3646.61474609375, 2587.1796875, 2092.03173828125, 1721.395263671875]",[0.13348812 0.21985859 0.14312154 ... 0.10689842 0.22553237 0.20353438],0.18699580440337557,0.3860625845126049
reservoir,"[0.4155074, 0.41443214, 0.41556147, 0.4240888, 0.39000684, 0.38943836, 0.3926154, 0.39441493, 0.40811]","[5034.8447265625, 3199.15966796875, 2204.425537109375, 1771.664794921875, 1470.3507080078125]",[0.39727019 0.29557303 0.39043777 ... 0.1939845  0.25544861 0.20817139],0.14022093840700434,0.33473870659486843
marketing,"[0.40670142, 0.4452832, 0.4286207, 0.41191497, 0.40019214, 0.38530505, 0.3891465, 0.3981705, 0.3844396]","[3015.83837890625, 1833.769287109375, 1280.20458984375, 1041.7679443359375, 859.0812377929688]",[0.17244675 0.2158592  0.22525789 ... 0.30145668 0.24711872 0.26649569],0.09154728915996185,0.30485400184156164
business,"[0.3865252, 0.4724815, 0.42663372, 0.41325086, 0.39738533, 0.37262043, 0.39805254, 0.38924628, 0.3785271]","[3723.556884765625, 1916.42822265625, 1428.5111083984375, 1131.5030517578125, 955.7923583984375]",[0.60391811 0.63987994 0.74702936 ... 0.1672333  0.22312221 0.20989667],0.08663906614926449,0.31864193485379133
vintage,"[0.48324004, 0.41901967, 0.4451863, 0.4535081, 0.4203155, 0.41199908, 0.4227423, 0.40686402, 0.38812208]","[3050.562744140625, 1994.3414306640625, 1356.1390380859375, 992.3447875976562, 826.459716796875]",[0.3299617  0.37663791 0.26909516 ... 0.75806072 0.93678711 0.37897276],0.10862917844173915,0.2944735711453902
spoiler,"[0.5780486, 0.5787251, 0.46376324, 0.42697892, 0.40307865, 0.41539216, 0.41194466, 0.41036862, 0.3700163]","[3928.597412109375, 2420.36328125, 1559.02392578125, 1258.009765625, 997.2733764648438]",[0.068321   0.13200695 0.14774934 ... 0.11330087 0.12987041 0.1935874 ],0.14855718170306337,0.23167193573289654
casting,"[0.4248582, 0.43399635, 0.40083495, 0.38623342, 0.3842934, 0.37496406, 0.3578004, 0.38000843, 0.36672157]","[4741.0732421875, 3131.880126953125, 2324.415771484375, 1842.615478515625, 1487.6851806640625]",[0.18100441 0.36586393 0.21957393 ... 0.40303482 0.73687502 0.76307576],0.14194495724576242,0.39492480781910555
bestseller,"[0.676918, 0.60892195, 0.5545884, 0.53419054, 0.4969982, 0.46280444, 0.43680525, 0.4565222, 0.46294385]","[3050.16162109375, 1127.271240234375, 737.5128173828125, 561.4345703125, 425.1116027832031]",[0.42542794 0.152393   0.42542794 ... 0.06909725 0.11812938 0.06057203],0.13884904034188644,0.26449042572069215
pitch,"[0.4023552, 0.41288692, 0.39282387, 0.3747151, 0.37648135, 0.39407682, 0.3873206, 0.38571522, 0.395542]","[5296.623046875, 3312.68408203125, 2371.10986328125, 1935.5235595703125, 1623.6776123046875]",[0.11087469 0.12931274 0.14218247 ... 0.         0.54121953 0.54121953],0.12886612268901673,0.4021970910201308
cool,"[0.4868014, 0.5162744, 0.4414933, 0.4094879, 0.40806994, 0.41141155, 0.41580516, 0.40658867, 0.40480065]","[5619.39453125, 3544.44091796875, 2603.92431640625, 1856.801025390625, 1492.0699462890625]",[0.05796985 0.23081077 0.14917009 ... 0.21298725 0.3212856  0.41418492],0.16731760344097235,0.38540976562128065
loser,"[0.39463276, 0.4019108, 0.44453093, 0.44788805, 0.43936238, 0.40447322, 0.4122581, 0.4318348, 0.41805255]","[3897.3916015625, 2605.548828125, 1773.437255859375, 1308.1591796875, 1063.8935546875]",[0.48929745 0.40697253 0.21945334 ... 0.17031002 0.44316035 0.37252347],0.16385057881078421,0.3753468147205058
coach,"[0.386629, 0.38670045, 0.3848684, 0.40941453, 0.39862257, 0.3984942, 0.40372285, 0.40213507, 0.40729222]","[5199.767578125, 3428.180419921875, 2506.871337890625, 1892.506591796875, 1518.1064453125]",[0.40319938 0.48027114 0.48009816 ... 0.14770424 0.53854176 0.78054787],0.14269985296513524,0.418934803253558
email,"[0.77789, 0.60670257, 0.5545739, 0.549383, 0.5261066, 0.52435523, 0.5306845, 0.49537042, 0.49734187]","[3034.882080078125, 1337.05322265625, 931.1228637695312, 593.4666748046875, 446.0250549316406]",[0.37789905 0.30296491 0.62573813 ... 0.3124395  0.33214045 0.12197847],0.2925141153139773,0.4690111332104667
brunch,"[0.71987045, 0.73093253, 0.54151744, 0.5388252, 0.4554622, 0.40281793, 0.3913974, 0.4014843, 0.37740922]","[3340.11083984375, 1713.417724609375, 1071.991455078125, 799.3751831054688, 659.3916015625]",[0.22536263 0.21997935 0.87580375 ... 0.06965931 0.61023745 0.62721507],0.16579087126687117,0.2461595835655658
digital,"[0.46233568, 0.36340222, 0.3944711, 0.35302624, 0.36131507, 0.34351113, 0.3600798, 0.35495654, 0.35010314]","[2835.9404296875, 2058.646484375, 1479.428466796875, 1210.90625, 1029.3341064453125]",[0.10854637 0.12327305 0.08855067 ... 0.16449542 0.25128141 0.18842972],0.09295933908561031,0.29456922159990645
leader,"[0.60239893, 0.5700531, 0.5260288, 0.49248794, 0.47445592, 0.4550601, 0.4268397, 0.41755423, 0.40880367]","[3933.37353515625, 2389.400634765625, 1383.349609375, 1050.22509765625, 741.7744140625]",[0.46121281 0.43981877 0.6586574  ... 0.44854515 0.32780675 0.35974711],0.10291862785005809,0.40627956647657976
hacker,"[0.44722104, 0.5151934, 0.4613333, 0.4703573, 0.47924444, 0.4190278, 0.4051506, 0.4120164, 0.3909099]","[3264.657958984375, 1811.5338134765625, 1305.83984375, 934.9171142578125, 711.1895751953125]",[0.18233861 0.12575085 0.22334301 ... 0.1088281  0.14157601 0.16812388],0.09869133146613096,0.24525478444658036
manager,"[0.5428397, 0.6012286, 0.5751294, 0.48859835, 0.48047334, 0.44416204, 0.44290033, 0.42326885, 0.41089296]","[5367.0908203125, 2145.604736328125, 1625.717529296875, 1121.240478515625, 921.8786010742188]",[0.51320315 0.45928605 0.51835877 ... 0.39945261 0.42319941 0.42011096],0.11954836327646506,0.4299594958946663
jogging,"[0.6292574, 0.60369384, 0.49168307, 0.44602442, 0.44911987, 0.40688798, 0.39444488, 0.38186926, 0.38849244]","[3811.36669921875, 1368.314208984375, 848.889404296875, 642.78564453125, 495.5548095703125]",[0.05135071 0.08006808 0.07338477 ... 0.06721018 0.23426304 0.21478347],0.15354773466477772,0.19202224041132065
yes,"[0.6414641, 0.6229353, 0.5741589, 0.57113826, 0.54393333, 0.57110995, 0.5650186, 0.53926814, 0.4914574]","[7022.12255859375, 2575.72314453125, 1670.57177734375, 1186.1326904296875, 806.104248046875]",[0.49032946 0.5032947  0.51272138 ... 0.31854052 0.30400979 0.10216796],0.2552380816331458,0.5317869610317884
match,"[0.47285092, 0.4925863, 0.4143381, 0.43070886, 0.4326847, 0.41609907, 0.41761115, 0.39316988, 0.4196238]","[5515.44677734375, 3045.537109375, 2370.17578125, 1864.2452392578125, 1426.5166015625]",[0.54006232 0.47903555 0.37981133 ... 0.6215532  0.62706132 0.3021487 ],0.11145750009422302,0.4022489767252274
shopping,"[0.5566123, 0.42776868, 0.48364547, 0.4698832, 0.45949683, 0.45874292, 0.46870214, 0.4621217, 0.45147207]","[5369.908203125, 3132.07861328125, 1768.151611328125, 1317.7210693359375, 1054.985595703125]",[0.14868429 0.27636855 0.23707227 ... 0.49420356 0.51715985 0.30342852],0.19584118334543252,0.4033907439901456
